case,backend,step,n_seeds,mean_reward,ci95_lower,ci95_upper
b300-tp4,triton,39,4,0.03645833395421505,-0.04966914752698054,0.12258581543541064
b300-tp4,triton,40,4,0.059895834885537624,-0.08672714447269206,0.2065188142437673
b300-tp4,triton,41,4,0.057291666977107525,-0.08105616918057998,0.19563950313479503
b300-tp4,triton,42,4,0.033854166278615594,-0.04195227021172421,0.1096606027689554
b300-tp4,triton,43,4,0.10677083092741668,-0.12424426214965287,0.33778592400448626
b300-tp4,triton,44,4,0.12499999790452421,-0.15334562578243788,0.4033456215914863
b300-tp4,triton,45,4,0.13541666883975267,-0.07856878217449931,0.34940211985400466
b300-tp4,triton,46,4,0.140625,-0.051961899071298834,0.33321189907129883
b300-tp4,triton,47,4,0.11197916371747851,-0.054531205865197996,0.278489533300155
b300-tp4,triton,48,4,0.17187499813735485,-0.023544205358838832,0.36729420163354853
b300-tp4,triton,49,4,0.2031250037252903,-0.038403815391364615,0.4446538228419452
b300-tp4,triton,50,4,0.26041667349636555,-0.025716368382603272,0.5465497153753344
b300-tp4,triton,51,4,0.2187500037252903,0.07236144096019542,0.3651385664903852
b300-tp4,triton,52,4,0.2552083320915699,0.05699727526941922,0.4534193889137206
b300-tp4,triton,53,4,0.4348958283662796,0.23353335908320114,0.636258297649358
b300-tp4,triton,54,4,0.4583333358168602,0.2113677854614125,0.705298886172308
b300-tp4,triton,55,4,0.4192708358168602,0.30177353464047324,0.5367681369932472
b300-tp4,triton,56,4,0.5416666641831398,0.35365148434628985,0.7296818440199897
b300-tp4,triton,57,4,0.4973958358168602,0.35139877841518413,0.6433928932185362
b300-tp4,triton,58,4,0.4843749925494194,0.40040104128176046,0.5683489438170783
b300-tp4,triton,59,4,0.453125,0.36915103781182373,0.5370989621881763
b300-tp4,triton,60,4,0.5546874850988388,0.35151398381987564,0.757860986377802
b300-tp4,triton,61,4,0.4375000074505806,0.2936355517077974,0.5813644631933638
b300-tp4,triton,62,4,0.5026041716337204,0.38988033417681667,0.6153280090906241
